Pack_Number,Pack_Title,Difficulty_Act,Chinese_Base_Words,Chinese_Example_Words,Chinese_Combined_Words
80,Personality Traits,Act V: Refinement,"[性格,开朗,内向,外向,活泼,安静,热情,冷淡,幽默,严肃,温柔,粗暴,耐心,急躁,乐观,悲观,自信]","[性格好,看性格,很开朗,性格开朗,很内向,比较内向,很外向,比较外向,很活泼,性格活泼,很安静,比较安静,很热情,特别热情,很冷淡,态度冷淡,很幽默,特别幽默,很严肃,态度严肃,很温柔,特别温柔,很粗暴,态度粗暴,很耐心,特别耐心,很急躁,比较急躁,很乐观,特别乐观,很悲观,比较悲观,很自信,特别自信]","[性格,开朗,内向,外向,活泼,安静,热情,冷淡,幽默,严肃,温柔,粗暴,耐心,急躁,乐观,悲观,自信,性格好,看性格,很开朗,性格开朗,很内向,比较内向,很外向,比较外向,很活泼,性格活泼,很安静,比较安静,很热情,特别热情,很冷淡,态度冷淡,很幽默,特别幽默,很严肃,态度严肃,很温柔,特别温柔,很粗暴,态度粗暴,很耐心,特别耐心,很急躁,比较急躁,很乐观,特别乐观,很悲观,比较悲观,很自信,特别自信]"
81,Culture & Traditions,Act V: Refinement,"[文化,传统,习俗,风俗,节日,春节,中秋节,端午节,清明节,元宵节,红包,礼物,拜年,团圆,放鞭炮,贴春联]","[中国文化,学文化,传统的,保持传统,习俗是,当地习俗,风俗习惯,本地风俗,过节日,什么节日,过春节,庆祝春节,过中秋节,庆祝中秋节,过端午节,庆祝端午节,过清明节,是清明节,过元宵节,庆祝元宵节,发红包,收红包,送礼物,收礼物,去拜年,拜年好,家人团圆,阖家团圆,放鞭炮吧,去放鞭炮,贴春联吧,去贴春联]","[文化,传统,习俗,风俗,节日,春节,中秋节,端午节,清明节,元宵节,红包,礼物,拜年,团圆,放鞭炮,贴春联,中国文化,学文化,传统的,保持传统,习俗是,当地习俗,风俗习惯,本地风俗,过节日,什么节日,过春节,庆祝春节,过中秋节,庆祝中秋节,过端午节,庆祝端午节,过清明节,是清明节,过元宵节,庆祝元宵节,发红包,收红包,送礼物,收礼物,去拜年,拜年好,家人团圆,阖家团圆,放鞭炮吧,去放鞭炮,贴春联吧,去贴春联]"
82,Chinese Arts & Heritage,Act V: Refinement,"[中国,龙,凤,熊猫,功夫,武术,太极拳,书法,国画,京剧,茶道,中医,针灸,剪纸,刺绣,陶瓷,丝绸]","[去中国,在中国,中国龙,像龙,凤凰,像凤,大熊猫,看熊猫,学功夫,练功夫,学武术,练武术,打太极拳,练太极拳,学书法,练书法,学国画,画国画,看京剧,唱京剧,学茶道,懂茶道,看中医,学中医,做针灸,学针灸,学剪纸,做剪纸,学刺绣,做刺绣,陶瓷品,做陶瓷,丝绸布,买丝绸]","[中国,龙,凤,熊猫,功夫,武术,太极拳,书法,国画,京剧,茶道,中医,针灸,剪纸,刺绣,陶瓷,丝绸,去中国,在中国,中国龙,像龙,凤凰,像凤,大熊猫,看熊猫,学功夫,练功夫,学武术,练武术,打太极拳,练太极拳,学书法,练书法,学国画,画国画,看京剧,唱京剧,学茶道,懂茶道,看中医,学中医,做针灸,学针灸,学剪纸,做剪纸,学刺绣,做刺绣,陶瓷品,做陶瓷,丝绸布,买丝绸]"
83,Time Expressions Advanced,Act V: Refinement,"[随时,及时,按时,暂时,临时,当时,那时,此时,届时,即将,即刻,片刻,瞬间,长期,短期,与此同时]","[随时都可以,随时联系,及时处理,要及时,按时到,要按时,暂时不,暂时的,临时的,是临时,当时说,在当时,那时候,在那时,此时此刻,在此时,届时见,届时通知,即将到来,即将开始,即刻出发,即刻执行,片刻之后,稍等片刻,瞬间消失,就在瞬间,长期的,做长期,短期的,做短期,与此同时说,与此同时做]","[随时,及时,按时,暂时,临时,当时,那时,此时,届时,即将,即刻,片刻,瞬间,长期,短期,与此同时,随时都可以,随时联系,及时处理,要及时,按时到,要按时,暂时不,暂时的,临时的,是临时,当时说,在当时,那时候,在那时,此时此刻,在此时,届时见,届时通知,即将到来,即将开始,即刻出发,即刻执行,片刻之后,稍等片刻,瞬间消失,就在瞬间,长期的,做长期,短期的,做短期,与此同时说,与此同时做]"
84,Frequency & Duration,Act V: Refinement,"[频率,频繁,反复,重复,连续,持续,断断续续,时不时,时常,长久,短暂,永久,一时,整天,整夜,通宵]","[频率高,看频率,很频繁,太频繁,反复做,反复说,重复了,不要重复,连续三天,连续工作,持续发展,持续进行,断断续续的,说的断断续续,时不时的,时不时想起,时常想,时常来,长久之计,不能长久,短暂的,很短暂,永久的,是永久,一时冲动,一时兴起,整天忙,忙整天,整夜工作,忙了整夜,通宵工作,熬了通宵]","[频率,频繁,反复,重复,连续,持续,断断续续,时不时,时常,长久,短暂,永久,一时,整天,整夜,通宵,频率高,看频率,很频繁,太频繁,反复做,反复说,重复了,不要重复,连续三天,连续工作,持续发展,持续进行,断断续续的,说的断断续续,时不时的,时不时想起,时常想,时常来,长久之计,不能长久,短暂的,很短暂,永久的,是永久,一时冲动,一时兴起,整天忙,忙整天,整夜工作,忙了整夜,通宵工作,熬了通宵]"
85,Comparison & Degree,Act V: Refinement,"[相当,极其,尤其,特别,更加,越来越,越发,稀微,略微,差一点,几乎,完全,愈发,极端]","[相当好,相当不错,极其重要,极其困难,尤其是,尤其喜欢,特别好,特别喜欢,更加好,更加努力,越来越好,越来越多,越发觉得,越发明显,稀微不同,稀微差别,略微不同,略微调整,差一点就,差一点成功,几乎是,几乎完成,完全同意,完全不同,愈发严重,愈发觉得,极端情况,太极端]","[相当,极其,尤其,特别,更加,越来越,越发,稀微,略微,差一点,几乎,完全,愈发,极端,相当好,相当不错,极其重要,极其困难,尤其是,尤其喜欢,特别好,特别喜欢,更加好,更加努力,越来越好,越来越多,越发觉得,越发明显,稀微不同,稀微差别,略微不同,略微调整,差一点就,差一点成功,几乎是,几乎完成,完全同意,完全不同,愈发严重,愈发觉得,极端情况,太极端]"
86,Cause & Effect,Act V: Refinement,"[原因,结果,因果,导致,造成,引起,产生,带来,影响,后果,根源,起因,归因于,源于,由此,因而]","[原因是,找原因,结果是,看结果,因果关系,有因果,导致了,会导致,造成了,会造成,引起了,会引起,产生了,会产生,带来了,会带来,影响大,有影响,后果严重,承担后果,根源在,找根源,起因是,查起因,归因于他,可归因于,源于此,源于过去,由此可见,由此产生,因而导致,因而决定]","[原因,结果,因果,导致,造成,引起,产生,带来,影响,后果,根源,起因,归因于,源于,由此,因而,原因是,找原因,结果是,看结果,因果关系,有因果,导致了,会导致,造成了,会造成,引起了,会引起,产生了,会产生,带来了,会带来,影响大,有影响,后果严重,承担后果,根源在,找根源,起因是,查起因,归因于他,可归因于,源于此,源于过去,由此可见,由此产生,因而导致,因而决定]"
87,Conditions & Assumptions,Act V: Refinement,"[如果,假如,假设,假使,万一,除非,只要,只有,否则,不然,要不,虽然,尽管,即使,哪怕,无论]","[如果是,如果说,假如是,假如说,假设是,假设说,假使是,假使如此,万一呢,万一是,除非是,除非你,只要是,只要你,只有你,只有这样,否则会,否则就,不然会,不然就,要不然,要不就,虽然是,虽然说,尽管是,尽管如此,即使是,即使这样,哪怕是,哪怕只有,无论是,无论如何]","[如果,假如,假设,假使,万一,除非,只要,只有,否则,不然,要不,虽然,尽管,即使,哪怕,无论,如果是,如果说,假如是,假如说,假设是,假设说,假使是,假使如此,万一呢,万一是,除非是,除非你,只要是,只要你,只有你,只有这样,否则会,否则就,不然会,不然就,要不然,要不就,虽然是,虽然说,尽管是,尽管如此,即使是,即使这样,哪怕是,哪怕只有,无论是,无论如何]"
88,Conjunctions & Connectors,Act V: Refinement,"[和,与,跟,或者,还是,但是,可是,然而,不过,而且,并且,况且,同时,另外,此外,总之]","[我和你,和他,我与你,与他,我跟你,跟他,或者说,或者是,还是说,还是你,但是呢,但是说,可是呢,可是说,然而呢,然而是,不过呢,不过说,而且是,而且还,并且是,并且还,况且是,况且说,同时也,与此同时,另外还,另外说,此外还,此外是,总之是,总之说]","[和,与,跟,或者,还是,但是,可是,然而,不过,而且,并且,况且,同时,另外,此外,总之,我和你,和他,我与你,与他,我跟你,跟他,或者说,或者是,还是说,还是你,但是呢,但是说,可是呢,可是说,然而呢,然而是,不过呢,不过说,而且是,而且还,并且是,并且还,况且是,况且说,同时也,与此同时,另外还,另外说,此外还,此外是,总之是,总之说]"
89,Modal Particles & Mood,Act V: Refinement,"[吗,吧,呢,啊,呀,哦,嘛,哎,唉,哈,噢,嗯,诶,得了,罢了,而已]","[是吗,好吗,走吧,好吧,你呢,是呢,好啊,对啊,好呀,是呀,哦是,哦好,是嘛,好嘛,哎呀,哎哟,唉声叹气,唉算了,哈哈,哈好,噢原来,噢好的,嗯好,嗯对,诶那个,诶对,得了吧,算得了,罢了吧,算罢了,而已啦,仅此而已]","[吗,吧,呢,啊,呀,哦,嘛,哎,唉,哈,噢,嗯,诶,得了,罢了,而已,是吗,好吗,走吧,好吧,你呢,是呢,好啊,对啊,好呀,是呀,哦是,哦好,是嘛,好嘛,哎呀,哎哟,唉声叹气,唉算了,哈哈,哈好,噢原来,噢好的,嗯好,嗯对,诶那个,诶对,得了吧,算得了,罢了吧,算罢了,而已啦,仅此而已]"
90,Structural Particles,Act V: Refinement,"[的,地,得,了,着,过,起来,下去,出来,进去,上来,下来,回来,过来,过去,开]","[我的,好的,慢慢地,快速地,跑得快,做得好,走了,来了,看着,听着,去过,来过,站起来,跑起来,走下去,说下去,拿出来,走出来,走进去,跑进去,爬上来,走上来,走下来,跑下来,走回来,跑回来,走过来,跑过来,走过去,跑过去,打开,离开]","[的,地,得,了,着,过,起来,下去,出来,进去,上来,下来,回来,过来,过去,开,我的,好的,慢慢地,快速地,跑得快,做得好,走了,来了,看着,听着,去过,来过,站起来,跑起来,走下去,说下去,拿出来,走出来,走进去,跑进去,爬上来,走上来,走下来,跑下来,走回来,跑回来,走过来,跑过来,走过去,跑过去,打开,离开]"
91,Common Sentence Patterns,Act V: Refinement,"[把,被,让,叫,使,比,向,往,从,为,关于,按照,令,朝]","[把它,把这个,被人,被发现,让他,让我,叫他,叫做,使人,使用,比他,比你,向你,向前,往前,往后,从这,从那,为你,为了,关于这,关于他,按照规定,按照计划,令人,令他,朝前,朝着]","[把,被,让,叫,使,比,向,往,从,为,关于,按照,令,朝,把它,把这个,被人,被发现,让他,让我,叫他,叫做,使人,使用,比他,比你,向你,向前,往前,往后,从这,从那,为你,为了,关于这,关于他,按照规定,按照计划,令人,令他,朝前,朝着]"
92,Describing Things,Act V: Refinement,"[东西,物品,事情,事物,类型,种类,样子,形状,外观,大小,尺寸,长度,重量,材料,材质,质地]","[买东西,什么东西,贵重物品,个人物品,这件事情,什么事情,各种事物,新事物,什么类型,这种类型,什么种类,各种种类,什么样子,这样子,什么形状,圆形状,外观好,看外观,大小合适,什么大小,尺寸对,量尺寸,长度够,测长度,重量轻,称重量,材料好,用材料,材质好,看材质,质地软,好质地]","[东西,物品,事情,事物,类型,种类,样子,形状,外观,大小,尺寸,长度,重量,材料,材质,质地,买东西,什么东西,贵重物品,个人物品,这件事情,什么事情,各种事物,新事物,什么类型,这种类型,什么种类,各种种类,什么样子,这样子,什么形状,圆形状,外观好,看外观,大小合适,什么大小,尺寸对,量尺寸,长度够,测长度,重量轻,称重量,材料好,用材料,材质好,看材质,质地软,好质地]"
93,Quantities & Amounts,Act V: Refinement,"[全部,所有,整个,全体,每个,各个,各种,部分,一部分,大部分,小部分,有些,某些,多数,少数,若干]","[全部都,全部是,所有人,所有的,整个人,整个世界,全体人员,全体起立,每个人,每个都,各个方面,各个地方,各种各样,各种情况,部分人,这部分,一部分人,有一部分,大部分人,占大部分,小部分人,只有小部分,有些人,有些事,某些人,某些事,多数人,大多数,少数人,少数民族,若干人,若干问题]","[全部,所有,整个,全体,每个,各个,各种,部分,一部分,大部分,小部分,有些,某些,多数,少数,若干,全部都,全部是,所有人,所有的,整个人,整个世界,全体人员,全体起立,每个人,每个都,各个方面,各个地方,各种各样,各种情况,部分人,这部分,一部分人,有一部分,大部分人,占大部分,小部分人,只有小部分,有些人,有些事,某些人,某些事,多数人,大多数,少数人,少数民族,若干人,若干问题]"
94,Extent & Degree,Act V: Refinement,"[程度,非常,很,太,极,最,挺,蛮,有点,十分,格外,分外,甚,稀稀,略,颇]","[程度高,到什么程度,非常好,非常感谢,很好,很大,太好,太大,极好,极大,最好,最大,挺好,挺大,蛮好,蛮大,有点累,有点难,十分感谢,十分重要,格外重要,格外小心,分外高兴,分外珍惜,甚好,甚至,稀稀疏疏,稀稀落落,略有,略微,颇有,颇为]","[程度,非常,很,太,极,最,挺,蛮,有点,十分,格外,分外,甚,稀稀,略,颇,程度高,到什么程度,非常好,非常感谢,很好,很大,太好,太大,极好,极大,最好,最大,挺好,挺大,蛮好,蛮大,有点累,有点难,十分感谢,十分重要,格外重要,格外小心,分外高兴,分外珍惜,甚好,甚至,稀稀疏疏,稀稀落落,略有,略微,颇有,颇为]"
95,Emphasis & Intensifiers,Act V: Refinement,"[就是,正是,只是,仅仅,偏偏,恰恰,竟然,居然,简直,根本,确实,的确,实在,究竟,到底,果然]","[就是他,就是这样,正是他,正是如此,只是说,只是想,仅仅是,仅仅因为,偏偏是,偏偏要,恰恰相反,恰恰是,竟然是,竟然会,居然是,居然会,简直是,简直不敢相信,根本不,根本没有,确实是,确实好,的确是,的确好,实在是,实在太,究竟是,究竟怎么,到底是,到底怎么,果然是,果然如此]","[就是,正是,只是,仅仅,偏偏,恰恰,竟然,居然,简直,根本,确实,的确,实在,究竟,到底,果然,就是他,就是这样,正是他,正是如此,只是说,只是想,仅仅是,仅仅因为,偏偏是,偏偏要,恰恰相反,恰恰是,竟然是,竟然会,居然是,居然会,简直是,简直不敢相信,根本不,根本没有,确实是,确实好,的确是,的确好,实在是,实在太,究竟是,究竟怎么,到底是,到底怎么,果然是,果然如此]"
96,Describing Problems,Act V: Refinement,"[困难,难题,难处,障碍,困境,危机,差错,故障,缺陷,不足,严重,棘手,复杂,糟糕]","[有困难,遇到困难,有难题,解决难题,有难处,说难处,有障碍,克服障碍,陷入困境,摆脱困境,有危机,面临危机,有差错,出差错,有故障,出故障,有缺陷,存在缺陷,有不足,弥补不足,很严重,特别严重,很棘手,比较棘手,很复杂,特别复杂,很糟糕,太糟糕]","[困难,难题,难处,障碍,困境,危机,差错,故障,缺陷,不足,严重,棘手,复杂,糟糕,有困难,遇到困难,有难题,解决难题,有难处,说难处,有障碍,克服障碍,陷入困境,摆脱困境,有危机,面临危机,有差错,出差错,有故障,出故障,有缺陷,存在缺陷,有不足,弥补不足,很严重,特别严重,很棘手,比较棘手,很复杂,特别复杂,很糟糕,太糟糕]"
97,Solutions & Methods,Act V: Refinement,"[解决,处理,应对,克服,办法,方法,措施,方案,对策,建议,改善,改进,优化,调整,补救,策划,提议]","[解决问题,去解决,处理好,去处理,应对好,积极应对,克服困难,去克服,有办法,想办法,有方法,找方法,采取措施,有措施,制定方案,有方案,有对策,想对策,有建议,提建议,改善情况,有改善,改进工作,有改进,优化流程,去优化,调整好,做调整,补救措施,去补救,策划活动,去策划,有提议,提出提议]","[解决,处理,应对,克服,办法,方法,措施,方案,对策,建议,改善,改进,优化,调整,补救,策划,提议,解决问题,去解决,处理好,去处理,应对好,积极应对,克服困难,去克服,有办法,想办法,有方法,找方法,采取措施,有措施,制定方案,有方案,有对策,想对策,有建议,提建议,改善情况,有改善,改进工作,有改进,优化流程,去优化,调整好,做调整,补救措施,去补救,策划活动,去策划,有提议,提出提议]"
98,Education & Learning,Act V: Refinement,"[教育,学习,培训,研究,学问,知识,能力,技能,学历,文凭,学位,课程,专业,科目,进修,自学]","[教育好,受教育,学习好,爱学习,参加培训,做培训,做研究,研究下,有学问,做学问,有知识,学知识,有能力,提高能力,有技能,学技能,学历高,看学历,有文凭,拿文凭,有学位,拿学位,上课程,选课程,学专业,选专业,考科目,选科目,去进修,继续进修,靠自学,坚持自学]","[教育,学习,培训,研究,学问,知识,能力,技能,学历,文凭,学位,课程,专业,科目,进修,自学,教育好,受教育,学习好,爱学习,参加培训,做培训,做研究,研究下,有学问,做学问,有知识,学知识,有能力,提高能力,有技能,学技能,学历高,看学历,有文凭,拿文凭,有学位,拿学位,上课程,选课程,学专业,选专业,考科目,选科目,去进修,继续进修,靠自学,坚持自学]"
99,Career Development,Act V: Refinement,"[职业,工作,就业,求职,找工作,面试,简历,录用,入职,试用期,转正,升职,加薪,调动,辞职,跳槽]","[什么职业,选职业,工作忙,有工作,就业率,促进就业,去求职,正在求职,找工作难,帮找工作,去面试,准备面试,写简历,投简历,被录用,正式录用,办入职,刚入职,试用期内,过试用期,申请转正,已转正,申请升职,获得升职,申请加薪,获得加薪,工作调动,申请调动,要辞职,提交辞职,想跳槽,准备跳槽]","[职业,工作,就业,求职,找工作,面试,简历,录用,入职,试用期,转正,升职,加薪,调动,辞职,跳槽,什么职业,选职业,工作忙,有工作,就业率,促进就业,去求职,正在求职,找工作难,帮找工作,去面试,准备面试,写简历,投简历,被录用,正式录用,办入职,刚入职,试用期内,过试用期,申请转正,已转正,申请升职,获得升职,申请加薪,获得加薪,工作调动,申请调动,要辞职,提交辞职,想跳槽,准备跳槽]"
100,Banking & Finance,Act V: Refinement,"[账户,存款,取款,转账,汇款,贷款,利息,信用卡,借记卡,余额,账单,手续费,理财,投资,柜台,储蓄]","[开账户,银行账户,存款额,去存款,取款机,去取款,转账吧,去转账,汇款单,去汇款,贷款额,申请贷款,利息高,算利息,刷信用卡,办信用卡,刷借记卡,办借记卡,查余额,看余额,看账单,还账单,手续费高,收手续费,理财产品,学理财,投资好,去投资,去柜台,在柜台,储蓄卡,定期储蓄]","[账户,存款,取款,转账,汇款,贷款,利息,信用卡,借记卡,余额,账单,手续费,理财,投资,柜台,储蓄,开账户,银行账户,存款额,去存款,取款机,去取款,转账吧,去转账,汇款单,去汇款,贷款额,申请贷款,利息高,算利息,刷信用卡,办信用卡,刷借记卡,办借记卡,查余额,看余额,看账单,还账单,手续费高,收手续费,理财产品,学理财,投资好,去投资,去柜台,在柜台,储蓄卡,定期储蓄]"
101,Government & Society,Act V: Refinement,"[政府,国家,社会,公民,法律,法规,政策,规定,制度,权利,义务,经济,发展,改革,民主,自由]","[政府部门,地方政府,国家大事,爱国家,社会问题,服务社会,公民权利,好公民,法律规定,懂法律,法规要求,遵守法规,政策好,新政策,规定是,按规定,制度好,建立制度,有权利,维护权利,有义务,尽义务,经济发展,搞经济,发展好,促进发展,改革开放,深化改革,民主选举,讲民主,自由平等,追求自由]","[政府,国家,社会,公民,法律,法规,政策,规定,制度,权利,义务,经济,发展,改革,民主,自由,政府部门,地方政府,国家大事,爱国家,社会问题,服务社会,公民权利,好公民,法律规定,懂法律,法规要求,遵守法规,政策好,新政策,规定是,按规定,制度好,建立制度,有权利,维护权利,有义务,尽义务,经济发展,搞经济,发展好,促进发展,改革开放,深化改革,民主选举,讲民主,自由平等,追求自由]"
102,Describing Processes,Act V: Refinement,"[过程,流程,程序,步骤,阶段,环节,首先,其次,然后,接着,最后,最终,完成,进展,进度,终结]","[整个过程,在过程中,工作流程,走流程,操作程序,按程序,操作步骤,分步骤,不同阶段,在这阶段,关键环节,每个环节,首先是,首先说,其次是,其次说,然后是,然后说,接着是,接着说,最后是,最后说,最终是,最终会,完成了,已完成,有进展,看进展,看进度,赶进度,终结了,宣告终结]","[过程,流程,程序,步骤,阶段,环节,首先,其次,然后,接着,最后,最终,完成,进展,进度,终结,整个过程,在过程中,工作流程,走流程,操作程序,按程序,操作步骤,分步骤,不同阶段,在这阶段,关键环节,每个环节,首先是,首先说,其次是,其次说,然后是,然后说,接着是,接着说,最后是,最后说,最终是,最终会,完成了,已完成,有进展,看进展,看进度,赶进度,终结了,宣告终结]"
103,Logical Relations,Act V: Refinement,"[逻辑,因此,从而,于是,那么,相反,反之,总而言之,比如,例如,譬如,换言之,也就是说,简言之,故而,事实上]","[有逻辑,讲逻辑,因此说,因此我,从而导致,从而使,于是说,于是我,那么说,那么我,相反的,恰恰相反,反之亦然,反之则,总而言之呢,总而言之是,比如说,比如这,例如说,例如这,譬如说,譬如这,换言之就是,换言之说,也就是说呢,也就是说吧,简言之就是,简言之说,故而导致,故而决定,事实上是,事实上说]","[逻辑,因此,从而,于是,那么,相反,反之,总而言之,比如,例如,譬如,换言之,也就是说,简言之,故而,事实上,有逻辑,讲逻辑,因此说,因此我,从而导致,从而使,于是说,于是我,那么说,那么我,相反的,恰恰相反,反之亦然,反之则,总而言之呢,总而言之是,比如说,比如这,例如说,例如这,譬如说,譬如这,换言之就是,换言之说,也就是说呢,也就是说吧,简言之就是,简言之说,故而导致,故而决定,事实上是,事实上说]"
104,Quality & Standards,Act V: Refinement,"[品质,质量,标准,规格,检验,检测,合格,不合格,达标,优质,优良,次品,瑕疵,认证,规范]","[品质好,高品质,质量好,保证质量,标准高,按标准,规格表,按规格,检验员,做检验,检测报告,做检测,合格了,检验合格,不合格品,检验不合格,达标了,已达标,优质品,提供优质,优良品种,品质优良,是次品,有次品,有瑕疵,无瑕疵,通过认证,做认证,规范化,按规范]","[品质,质量,标准,规格,检验,检测,合格,不合格,达标,优质,优良,次品,瑕疵,认证,规范,品质好,高品质,质量好,保证质量,标准高,按标准,规格表,按规格,检验员,做检验,检测报告,做检测,合格了,检验合格,不合格品,检验不合格,达标了,已达标,优质品,提供优质,优良品种,品质优良,是次品,有次品,有瑕疵,无瑕疵,通过认证,做认证,规范化,按规范]"
105,Evaluation & Assessment,Act V: Refinement,"[评价,评估,评论,评判,判断,认为,觉得,看来,显然,好像,似乎,估计,预计,预测,分析,考虑]","[评价高,做评价,评估报告,做评估,评论区,写评论,评判标准,做评判,判断力,做判断,我认为,他认为,我觉得,他觉得,看来是,看来会,显然是,很显然,好像是,好像会,似乎是,似乎会,估计是,我估计,预计是,预计会,预测结果,做预测,分析报告,做分析,考虑下,要考虑]","[评价,评估,评论,评判,判断,认为,觉得,看来,显然,好像,似乎,估计,预计,预测,分析,考虑,评价高,做评价,评估报告,做评估,评论区,写评论,评判标准,做评判,判断力,做判断,我认为,他认为,我觉得,他觉得,看来是,看来会,显然是,很显然,好像是,好像会,似乎是,似乎会,估计是,我估计,预计是,预计会,预测结果,做预测,分析报告,做分析,考虑下,要考虑]"
106,Abstract Concepts,Act V: Refinement,"[概念,观念,想法,思想,原则,理念,道理,意义,价值,理想,梦想,目标,信念,精神,真理,哲学]","[新概念,有概念,新观念,转变观念,好想法,有想法,思想家,有思想,原则上,有原则,新理念,有理念,讲道理,有道理,有意义,没意义,有价值,没价值,有理想,追求理想,有梦想,实现梦想,有目标,定目标,有信念,坚定信念,精神好,有精神,是真理,追求真理,学哲学,讲哲学]","[概念,观念,想法,思想,原则,理念,道理,意义,价值,理想,梦想,目标,信念,精神,真理,哲学,新概念,有概念,新观念,转变观念,好想法,有想法,思想家,有思想,原则上,有原则,新理念,有理念,讲道理,有道理,有意义,没意义,有价值,没价值,有理想,追求理想,有梦想,实现梦想,有目标,定目标,有信念,坚定信念,精神好,有精神,是真理,追求真理,学哲学,讲哲学]"
107,Success & Achievement,Act V: Refinement,"[成功,成就,成果,业绩,失败,挫折,进步,突破,收获,成长,奋斗,努力,效果,成效,战果,建树]","[成功了,取得成功,有成就,取得成就,有成果,取得成果,有业绩,创造业绩,失败了,接受失败,有挫折,遇到挫折,有进步,取得进步,有突破,取得突破,有收获,满满收获,有成长,快速成长,在奋斗,努力奋斗,很努力,继续努力,有效果,看效果,有成效,取得成效,有战果,取得战果,有建树,颇有建树]","[成功,成就,成果,业绩,失败,挫折,进步,突破,收获,成长,奋斗,努力,效果,成效,战果,建树,成功了,取得成功,有成就,取得成就,有成果,取得成果,有业绩,创造业绩,失败了,接受失败,有挫折,遇到挫折,有进步,取得进步,有突破,取得突破,有收获,满满收获,有成长,快速成长,在奋斗,努力奋斗,很努力,继续努力,有效果,看效果,有成效,取得成效,有战果,取得战果,有建树,颇有建树]"
