Function Name,What It Does (Detailed),How It Works (Detailed Implementation),Reusability Score (1-10)
createDeckFromPack,"Creates a complete game deck from a wordpack by extracting and transforming word data. Handles target/translation column selection Chinese pinyin typing targets anti-decoupled card structure difficulty filtering. Returns array of card objects ready for game loop.","Extracts options: targetColumnIndex (default 0) translationColumnIndex (required) difficulty (default 'hard') additionalProperties (optional). Calls combineAndShuffleWords(pack difficulty) to get shuffled words with pedagogical ordering. Maps each wordObj: creates unique card.id using pack number and word index stores rawWord array extracts target and translation by column index determines if target is Chinese (isChinese) determines typing target (pinyin if Chinese target word otherwise) creates card object {id spanish/chinese/english translation isChinese typingTarget type rawWord}. Applies additionalProperties if provided using spread operator. Returns cards array.",10
populateActSelector,"Populates an act selector dropdown with act options from loaded metadata. Clears existing options creates option element for each act sets onChange handler. Used in menu/setup screens for act selection.","Clears selectElement.innerHTML. Extracts act numbers from loadedActMeta using Object.keys() converts to numbers sorts ascending. Iterates through sorted acts: creates option element sets value to actNumber sets textContent to 'Act N - ActName' from metadata.actName appends to select. Sets onchange handler: extracts selected actNum from e.target.value calls onChange callback with number. Returns void.",8
populatePackSelector,"Populates wordpack selector dropdown with pack options from current act data. Extracts pack titles from metadata displays formatted options. Sets onChange handler for pack selection.","Clears selectElement.innerHTML. Iterates through actData object keys (pack keys). For each pack: extracts pack.meta.wordpack (pack number) extracts pack.meta.english (pack title) creates option element sets value to packKey sets textContent to 'Pack N - Title' appends to select. Sets onchange handler: calls onChange callback with selected packKey. Returns void.",8
populateNativeLanguageSelector,"Populates 'I speak' language selector dropdown with available translation languages from metadata. Shows display names (e.g. 'English' 'ä¸­æ–‡' 'PortuguÃªs'). Sets currentValue as selected option.","Clears selectElement.innerHTML. Iterates through translations object using Object.entries(). For each [code config]: creates option element sets value to config.index (column index) sets textContent to config.display (localized name) checks if config.index === currentValue and sets selected=true appends to select. Sets onchange handler: converts e.target.value to number calls onChange with language index. Returns void.",9
navigateToPrevious,"Handles navigation to previous card in deck. Decrements index with wraparound to last card. Calls update callback and saves state. Returns new index.","Calculates newIndex = (currentIndex - 1 + deck.length) % deck.length using modulo for wraparound. If callbacks.update provided calls callbacks.update(). If callbacks.save provided calls callbacks.save(). Returns newIndex.",9
navigateToNext,"Handles navigation to next card in deck. Increments index with wraparound to first card. Calls update callback and saves state. Returns new index.","Calculates newIndex = (currentIndex + 1) % deck.length using modulo for wraparound. If callbacks.update provided calls callbacks.update(). If callbacks.save provided calls callbacks.save(). Returns newIndex.",9
resetDeckToOriginal,"Resets current deck back to original shuffled state removing all modifications (removed cards added duplicates progress). Resets index to 0. Calls callbacks for update and save. Returns original deck.","Creates deckCopy using spread operator [...originalDeck]. Sets index to 0. If callbacks.reset provided calls callbacks.reset(deckCopy 0). If callbacks.update provided calls callbacks.update(). If callbacks.save provided calls callbacks.save(). Returns deckCopy.",9
navigateToNextPack,"Finds the next pack key in sequential order from current pack. Wraps around to first pack if at end. Used for 'next pack' button functionality. Returns next pack key.","Extracts all pack keys from wordpacks object using Object.keys(). Finds current pack index using .findIndex(key => key === currentPackKey). Calculates next index = (currentIndex + 1) % packKeys.length with wraparound. Returns packKeys[nextIndex].",9
setTTSSpeed,"Updates TTS speed setting and updates UI button states. Sets aria-pressed and active class on selected button removes from others. Saves state. Returns void.","Iterates through speedButtons array. For each button: checks if parseFloat(btn.dataset.speed) === speed if match sets aria-pressed='true' and adds 'active' class if no match sets aria-pressed='false' and removes 'active' class. This provides visual and accessibility feedback for selected speed.",8
renderTypingDisplayHTML,"Renders typing progress as HTML with color-coded characters. Green for correct red for wrong gray for untyped. Returns HTML string for innerHTML assignment.","Maps over chars array creating span for each character. For each character at index i: if index in wrongPositions creates red span with 'wrong' class if index in typedPositions creates green span with 'correct' class otherwise creates gray span with 'untyped' class showing 'X'. Joins spans into string and returns.",8
renderTargetWordHTML,"Renders target word as HTML handling Chinese text with pinyin coupling. Returns HTML string ready for innerHTML. Checks isChineseTarget flag to determine rendering method.","If isChineseTarget: extracts chinese and pinyin from card.rawWord array calls getChineseHtml(chinese pinyin) to create coupled HTML returns HTML string. Otherwise: creates plain text span returns card property (spanish/english/chinese) as text content.",9
renderTranslationHTML,"Renders translation text as HTML handling Chinese translations with pinyin. Checks if translation language is Chinese and renders accordingly.","Extracts native language from card object properties. Checks if nativeLanguage key is 'chinese': if yes extracts chinese and pinyin from card.rawWord calls getChineseHtml() returns coupled HTML. If no returns plain text from card.translation property.",9
createButtonTooltip,"Creates and appends tooltip to button with HTML content. Tooltip appears on hover above/below button. Returns the tooltip element reference.","Queries for existing #tooltip-BUTTONID removes if found. Creates div with id='tooltip-{button.id}' class='tooltip'. Sets innerHTML to htmlContent. Appends tooltip div to button element. Returns tooltip reference.",7
updateWordpackTitleDisplay,"Updates wordpack title display element with formatted pack number and title. Extracts metadata from wordpacks object.","Gets pack data from wordpacks[packKey]. Extracts packNumber from pack.meta.wordpack. Extracts title from pack.meta.english. Sets titleElement.textContent to 'Pack N - Title' format.",7
simulateCorrectAnswer,"Simulates a correct answer for testing. Shows success stamp removes card from deck updates to new position calls success callback. Used in debug mode for rapid testing.","Checks if deck is empty returns early if so. Calls showSuccessStamp() with callback: inside callback removes current card using removeCard(deck currentIndex) gets {deck: newDeck newIndex} updates state calls onSuccess() callback if provided. Returns {deck newIndex}.",7
simulateWrongAnswer,"Simulates a wrong answer for testing. Shows failure stamp adds duplicate cards to deck calls failure callback. Used in debug mode for rapid testing.","Checks if deck is empty returns early if so. Calls showFailureStamp() with callback: inside callback adds duplicates using addDuplicateCards(deck currentIndex duplicateCount) gets {deck: newDeck} updates state calls onFailure() callback if provided. Returns {deck: newDeck}.",7
simulateNearVictory,"Simulates near-victory state for testing endgame behavior. Reduces deck to last 3 cards resets index to 0. Used in debug mode to test victory conditions without playing full game.","Takes first 3 cards from deck using deck.slice(0 3). Sets index to 0. Calls onSimulate callback if provided passing new deck and index. Returns {deck: reducedDeck index: 0}.",7
getAudioContext,"Gets or creates Web Audio API context singleton. Prevents multiple context creation which causes audio glitches and memory leaks. Returns global audioContext instance.","Checks if global audioContext variable is null/undefined. If null creates new AudioContext using window.AudioContext || window.webkitAudioContext (webkit prefix for Safari). Returns audioContext reference.",10
playTypingSound,"Plays typing sound (mechanical keyboard click) using shared sound function. This function exists in wordpack-logic.js for module coordination but actual implementation is in game-sounds.js as playScribbleSound().","Checks if window.playScribbleSound function exists. If exists calls window.playScribbleSound(). If not exists logs warning that game-sounds.js not loaded. This provides fallback behavior and helps debug missing dependencies.",10
handleTypingInput,"Handles typing input validation for a single keypress. Finds next position checks if key is correct updates typed positions tracks wrong attempts returns status and updated state.","Gets reference to typingState from global state by wordIndex. Extracts chars typed wrongLetters wrongCount from typingState. Calls findNextTypingPosition(chars typed) to get next position skipping auto-typed spaces. If nextPos is -1 word is already complete returns {status: 'complete'}. Gets targetChar = chars[nextPos]. Calls checkTypingKey(key targetChar) to validate. If result is 'space' plays sound returns {status: 'space'}. If result is 'correct': plays success sound adds position to typed Set updates input display checks if word now complete returns appropriate status. If result is 'wrong': plays failure sound tracks wrong letter increments wrongCount updates display returns {status: 'wrong'}.",10
resetListeningState,"Resets speech recognition listening state and button UI when recognition stops completes or errors. Restores button to initial ready state.","Sets global isListening = false. Sets global currentListeningWordIndex = null. If recognition object exists calls recognition.abort() to force stop. Sets recordButton textContent to 'ðŸŽ¤ Record'. Sets recordButton disabled = false. Removes 'listening' class from button classList.",9
startListeningForPronunciation,"Starts speech recognition for pronunciation practice. Configures recognition language starts listening processes results calculates similarity score shows feedback.","Checks if SpeechRecognition API available returns early if not. Checks if already listening returns early if so. Sets global currentListeningWordIndex = wordIndex. Sets global isListening = true. Updates button UI: text to 'ðŸŽ¤ Listening...' adds 'listening' class disables button. Calls resetListeningState() to ensure clean state. Gets language code from getTtsLanguageCode(). Sets recognition.lang to language code. Adds recognition.onresult handler: extracts transcript from results array normalizes transcript and correct word calculates similarity using calculateSimilarity() determines pass/fail using getSimilarityThreshold() calls showFeedback() with results calls resetListeningState(). Adds recognition.onerror handler: logs error calls resetListeningState(). Adds recognition.onend handler: calls resetListeningState() if still listening. Calls recognition.start() to begin listening.",10
restoreSavedState,"Restores game state from localStorage on page load. Validates saved values against current valid options to prevent bugs from stale data. Returns boolean indicating if state was restored.","Calls loadState() to get saved state object. Returns false if no state. Validates each saved property: if saved.voiceURI loads voices for language using loadVoicesForLanguage() finds voice by URI using findVoiceByURI() sets currentVoice if found. if saved.speed checks if speed is in VALID_SPEEDS array sets currentSpeed if valid. if saved.wordpackKey sets currentWordpackKey. if saved.act checks if act exists in loadedActs sets currentAct if valid. if saved.language extracts validLanguages from translations config checks if saved language in valid set sets nativeLanguage if valid. Returns true indicating state was restored.",9
validateAndFixState,"Validates current state against loaded data to ensure act and wordpack still exist. If invalid data detected resets to null forcing auto-selection. Prevents crashes from stale state referencing deleted packs.","Checks if currentAct is not null and not in loadedActs object: sets currentAct = null currentWordpackKey = null logs warning. Checks if currentAct valid but currentWordpackKey not in loadedActs[currentAct]: sets currentWordpackKey = null logs warning. Returns void.",9
loadLanguageData,"Async function that loads all acts for a language by loading each module from MODULE_URLS array. Stores decoded data in window.loadedActs and window.loadedActMeta globals. Validates target language consistency across acts.","Initializes window.loadedActs = {} and window.loadedActMeta = {}. Iterates through MODULE_URLS array with index. For each module: calls await decodeObfuscatedModule(url) extracts __actMeta from decoded data calculates actNumber = index + 1 stores metadata in loadedActMeta[actNumber] stores pack data in loadedActs[actNumber] logs success. After all loads: calls validateTargetLanguageConsistency() to ensure all acts have same target language. Logs total acts loaded. Returns void.",10
initFlashcardDeck,"Creates anti-decoupled flashcard deck where front and back are properties of same card object preventing sync issues. Maps word data to card objects with id front back properties. Returns shuffled deck.","Checks if currentWordpackKey or nativeLanguage invalid returns empty array. Gets pack from loadedActs[currentAct][currentWordpackKey]. Calls combineAndShuffleWords(pack difficulty) to get words with pedagogical ordering. Gets nativeLanguageConfig from translations. Extracts targetColumnIndex=0 translationColumnIndex from config. Checks if translation is Chinese for pinyin rendering. Maps each wordObj to flashcard object: generates unique id extracts front from word[targetColumnIndex] extracts back from word[translationColumnIndex] if target or translation is Chinese uses renderChineseText() creates object {id front back frontRaw backRaw}. Returns flashcard deck array.",9
flipCard,"Toggles flashcard between front and back states. Updates isFlipped flag recalculates flashcardShowingFront updates display saves state. Returns void.","Inverts window.isFlipped boolean flag. If showing starting card exits early. If in flashcard mode: inverts flashcardShowingFront flag calls updateFlashcardDisplay(). Otherwise: toggles 'flipped' class on flashcard element calls updateDisplay() for main card view. Calls saveState() to persist. Returns void.",8
nextCard,"Navigates to next flashcard in deck. Uses navigateToNext() utility then updates flashcard display specifically. Returns void.","Calls navigateToNext(flashcardDeck flashcardIndex) with callbacks: update callback calls updateFlashcardDisplay() save callback calls saveState(). Stores returned newIndex in flashcardIndex. Returns void.",8
prevCard,"Navigates to previous flashcard in deck. Uses navigateToPrevious() utility then updates flashcard display specifically. Returns void.","Calls navigateToPrevious(flashcardDeck flashcardIndex) with callbacks: update callback calls updateFlashcardDisplay() save callback calls saveState(). Stores returned newIndex in flashcardIndex. Returns void.",8
shuffleDeck,"Reshuffles the flashcard deck creating new random order. Resets index to 0 updates display saves state. Returns void.","Checks if flashcardDeck empty returns early if so. Calls shuffleArray(flashcardDeck) creates new shuffled array. Sets flashcardDeck = shuffled. Sets flashcardIndex = 0. Calls updateFlashcardDisplay(). Calls saveState(). Returns void.",8
autoSelectFirstActAndPack,"Auto-selects first available act and first pack within that act. Sets currentAct and currentWordpackKey globals. Populates pack dropdown and displays vocabulary. Used during initialization and language switching.","Gets first act number from loadedActs using Object.keys()[0] converts to number stores in currentAct. Calls populatePackDropdown(). Gets first pack key from loadedActs[currentAct] using Object.keys()[0] stores in currentWordpackKey. Calls displayVocabulary(). Returns void.",8
showStartingCard,"Displays the starting/title card explaining game rules and modes. Supports showing back side if showBack=true. Updates UI to match menu state.","Sets window.isStartingCardActive = true. Sets flashcard.classList to 'flashcard starting-card'. If showBack true adds 'flipped' class. Sets isFlipped = showBack. Gets targetLanguageDisplay from getTargetLanguage() + toTitleCase(). Determines gameTitle and gameDescription based on language. Sets spanishWord.innerHTML to title. Sets englishWord.innerHTML to description. Sets control buttons to hidden (display='none'). Shows menu button. Returns void.",6
exitStartingCard,"Exits the starting card and transitions to first vocabulary card. Calls startGame() to initialize deck. Hides starting card shows game controls.","Sets window.isStartingCardActive = false. Calls startGame() to create deck and start game loop. Returns void.",6
renderMenuCard,"Renders the menu card HTML with all setup options: act selector pack selector language selector voice selector speed buttons start button. Returns void.","Gets langName from targetLanguageDisplay or 'Target'. Determines typing descriptions based on isChineseMode(). Builds HTML string using template literals: dropdown for act selection populated with loadedActMeta dropdown for pack selection populated from current act dropdown for I speak language populated from translations config dropdown for voice selection populated from TTS voices speed buttons (0.3x 0.6x 0.9x) start practice button. Sets spanishWord.innerHTML to menu HTML. Sets englishWord.innerHTML to empty. Shows menu buttons (menu-btn prev-btn next-btn). Hides control buttons. Sets up event listeners: act change loads packs updates voice updates start button state pack change updates start button state language change updates voice updates back label start button enables voice selector loads new voices. Returns void.",5
switchMode,"Switches between game modes (reading listening speaking writing). Updates global currentMode state updates button UI starts game with new mode. Returns void.","Sets window.currentMode = newMode. Iterates through mode buttons: if button.dataset.mode === newMode sets aria-pressed='true' adds 'active' class otherwise sets aria-pressed='false' removes 'active' class. Calls exitStartingCard(). Calls startGame(). Calls saveState(). Returns void.",7
populateVoiceSelector,"Populates voice selector dropdown with available TTS voices for current language. Loads voices filters by language code populates options restores saved voice. Returns void.","Gets menuVoice element. Returns if not found. Gets language code from getTtsLanguageCode(). Calls loadVoicesForLanguage(languageCode currentVoice?.voiceURI). If no voices found sets innerHTML to 'No voices' disabled returns. Clears innerHTML. Iterates through voices: creates option element sets value to voiceURI sets textContent to voice.name if voice matches currentVoice?.voiceURI sets selected=true appends option. Sets onchange handler: gets selected voiceURI finds voice object using findVoiceByURI sets currentVoice updates back label saves state. Returns void.",7
initializeTooltips,"Initializes all tooltip HTML for mode buttons. Creates tooltip elements with formatted descriptions of mode functionality and controls. Uses createButtonTooltip() utility.","Defines tooltip HTML for each mode using template literals with TOOLTIP_MESSAGES constants. Reading mode: explains listening practicing flipping peeking pronouncing removing/adding controls. Listening mode: explains auto-pronunciation typing pinyin removal controls. Speaking mode: explains recording pronunciation scoring controls. Writing mode: explains translation typing controls. Calls createButtonTooltip() for each mode button passing HTML content. Returns void.",6
initializeApp,"Main initialization function runs on page load. Loads act data restores saved state validates state populates UI renders menu card sets up event listeners starts game.","Sets up initial state: hasStarted=false isMenuCardActive=true. Loads Act 1 data using await loadAct(1) stores in loadedActs[1] and loadedActMeta[1]. Sets currentAct=1. Gets first pack key from loadedActs[1] sets currentWordpackKey. Calls restoreSavedState() to load preferences. Calls validateAndFixState() to ensure valid state. Calls renderMenuCard() to show initial menu. Sets up event listeners: menu button toggles menu card prev/next buttons navigate flashcard prev/next buttons navigate fullscreen button toggles fullscreen mode buttons switch modes speed buttons set TTS speed. Calls initializeTooltips(). Calls updateBackLabel(). Calls saveState(). Returns void.",5
updateBackLabel,"Updates the 'Translation' label on card back to show current 'I speak' language in parentheses. For example 'Translation (English)' or 'Translation (ä¸­æ–‡)'.","Gets backLabel element returns if not found. Gets translations config from getTranslationsConfig(). Gets language config from translations[nativeLanguage]. If config found: extracts display name sets backLabel.textContent to 'Translation ({display})'. If config not found sets to 'Translation'. Returns void.",7
generateWeathering,"Generates random weathering CSS gradient for vintage flashcard effect. Uses seeded random for consistent weathering per card. Returns CSS gradient string.","Defines local random function using Math.sin(seed) * 10000 for pseudo-random seeded values. Generates random percentages for edge fades (top right bottom left) ranging 15-25%. Generates random RGB values for tint color: red 101-120 green 67-82 blue 33-43 creating sepia tone. Generates random edge and overall intensity values. Generates random spot positions for aging effects. Builds complex CSS gradient string using template literals: radial gradients for spots at random positions linear gradients for edge fades background tint color. Returns gradient CSS string.",5
updateDisplay,"Main display update function for flashcard game. Updates all UI elements based on current card and mode: front/back text typing inputs pronunciation buttons counters stamps. Handles Chinese rendering weathering effects button states.","Gets current card from deck. Updates wordpack title. Determines which side showing (front/back). Extracts displayed word and translation based on side. Updates spanish-word and english-word innerHTML handling Chinese rendering with renderChineseText(). Shows/hides mode-specific UI: listening mode shows typing input wrong letters wrong count speaking mode shows mic button score elements writing mode shows typing input for translation. Updates card counter with card numbers applies random rotation/scale. Generates weathering CSS using generateWeathering(card.id). Applies weathering to front/back elements. Updates pronunciation button states and labels. Updates prev/next button states. Shows appropriate control buttons based on mode. Handles edge case: shows peek button on front hides on back for most modes. Returns void.",4
unflipCard,"Unflips the flashcard back to front side. Opposite of flipCard(). Updates isFlipped state removes flipped class updates display.","Sets isFlipped = false. Removes 'flipped' class from flashcard.classList. Calls updateDisplay() to refresh UI. Returns void.",6
showFeedback,"Shows pronunciation feedback panel with score percentage color-coded message heard transcription expected word. Positions panel on front or back based on isFront parameter.","Selects feedback elements based on isFront: feedbackFront/feedbackBack scoreEl messageEl heardEl. Gets threshold for word using getSimilarityThreshold(expected). Calculates threshold percentage. Gets scoreClass using getScoreClass(score) for color. Gets feedbackMessage using getFeedbackMessage(score). Sets scoreEl.textContent to score rounded. Sets scoreEl.className to scoreClass. Sets messageEl.textContent to feedbackMessage. Sets heardEl.textContent to 'You said: {heard}'. Shows feedback element with display='block'. If score >= threshold (pass): shows success stamp with callback to remove card after delay. If score < threshold (fail): shows failure stamp with callback to add duplicate cards. Returns void.",6
startGame,"Initializes or restarts the game. Creates deck from pack applies difficulty filter initializes game state shows first card updates display.","Checks if gameStarted false OR difficulty changed OR pack changed. If needs new deck: calls createDeckFromPack() with current pack translation columns difficulty stores in currentDeck makes copy to originalDeck sets currentIndex=0 sets gameStarted=true. Hides menu card and starting card. Shows control separator. Removes 'flipped' class from flashcard. Sets isFlipped=false. Calls updateDisplay(). Calls saveState(). Returns void.",5
getAudioContext,"Gets or creates Web Audio API context singleton. Located in game-sounds.js. Returns audioContext for generating sound effects.","Checks if module-level audioContext variable is null. If null creates new AudioContext or webkitAudioContext (Safari). Returns audioContext. This singleton pattern prevents multiple context creation which causes issues.",10
playCardFlipSound,"Plays soft page-turn sound using Web Audio API. Generates muffled white noise with lowpass filters. Duration 0.23 seconds. Uses module audioContext singleton.","Gets context from getAudioContext(). Creates audio buffer 0.23 seconds long. Fills buffer with random noise values with sine envelope for smooth attack/decay. Creates buffer source and connects to two lowpass filters (400Hz 580Hz) for muffled effect. Connects through gain node (volume 2.5) to destination. Starts playback. No return value.",10
playDingSound,"Plays success bell sound (C5 E5 G5 chord). Gentle satisfying sound for correct answers achievements. Duration 0.6 seconds with exponential decay.","Gets context from getAudioContext(). Defines frequencies array [523.25 659.25 783.99] (C5 E5 G5). Iterates through frequencies: creates oscillator with sine wave creates lowpass filter (1500Hz warmth) creates gain node sets volume with exponential decay (0.2 0.16 0.12 by index) connects oscâ†’filterâ†’gainâ†’destination staggers start times by 0.03s. Returns void.",10
playBuzzSound,"Plays failure buzz sound (D4 A3 descending). Gentle two-tone rejection sound for wrong answers errors. Duration 0.15 seconds per note.","Gets context from getAudioContext(). Defines notes array [293.66 220] (D4 A3 descending). Iterates through notes: creates oscillator (sine) and lowpass filter (800Hz gentle) creates gain node with exponential decay connects oscâ†’filterâ†’gainâ†’destination staggers notes by 0.12s. Returns void.",10
playButtonClickSound,"Plays UI click sound. Crisp satisfying snap with subtle low end. Duration 0.03 seconds. Used for button presses menu interactions.","Gets context from getAudioContext(). Creates 0.03s buffer filled with exponential decay noise. Creates buffer source and two lowpass filters (800Hz 1200Hz) for muffled click. Creates sine oscillator (120Hzâ†’60Hz) for subtle body. Connects sourceâ†’lp1â†’lp2â†’gain (0.75)â†’destination. Connects oscâ†’oscGain (0.05)â†’destination. Starts both sources. Returns void.",10
playKeyboardSound,"Plays mechanical keyboard sound (reference implementation currently unused). High-frequency clicky sound with highpass and bandpass filters. Duration 0.04 seconds.","Gets context from getAudioContext(). Creates 0.04s buffer with exponential decay noise. Creates highpass filter (2000Hz) and bandpass filter (4500Hz Q=2) for clicky sound. Connects sourceâ†’hpâ†’bpâ†’gain (0.3)â†’destination. Starts playback. Returns void.",8
playScribbleSound,"Plays typing sound for each keypress. Clicky mechanical keyboard sound with randomization for natural feel. Duration 0.015-0.025 seconds randomized per call.","Gets context from getAudioContext(). Generates random duration 0.015-0.025s. Creates buffer filled with sharp decay noise. Creates two bandpass filters: bp1 (2000-3500Hz Q=4 clicky range) randomized bp2 (1000-1500Hz Q=2.5 body) randomized. Creates highpass filter (400Hz remove mud). Connects sourceâ†’hpâ†’bp1â†’bp2â†’gain (0.8)â†’destination. Starts playback. Randomization creates natural varied typing sound. Returns void.",10
