Pack_Number,Pack_Title,Title_EN,Title_ZH,Title_Pinyin,Title_PT
1,Greetings & Goodbyes,Greetings & Goodbyes,问候与告别,Wènhòu yǔ Gàobié,Cumprimentos e Despedidas
2,Yes No & Agreement,Yes No & Agreement,是非与同意,Shìfēi yǔ Tóngyì,Sim Não e Acordo
3,Numbers 0-10,Numbers 0-10,数字 0-10,Shùzì 0-10,Números 0-10
4,Asking Questions (qué cuándo dónde),Asking Questions,提问,Tíwèn,Fazer Perguntas
5,Referring to People (yo tú él ella),Referring to People,称呼人,Chēnghu Rén,Referir-se a Pessoas
6,Being Permanent (ser),Being Permanent (ser),永久状态 (ser),Yǒngjiǔ Zhuàngtài (ser),Ser Permanente
7,Being Temporary (estar),Being Temporary (estar),临时状态 (estar),Línshí Zhuàngtài (estar),Estar Temporário
8,Having & Age (tener),Having & Age (tener),拥有与年龄 (tener),Yǒngyǒu yǔ Niánlíng (tener),Ter e Idade
9,The & A Articles (el la un una),The & A Articles,冠词,Guàncí,Artigos
10,Connecting Words (y pero porque),Connecting Words,连接词,Liánjiē Cí,Palavras de Conexão
11,Days of the Week,Days of the Week,星期几,Xīngqī Jǐ,Dias da Semana
12,Months of the Year,Months of the Year,月份,Yuèfèn,Meses do Ano
13,Family Members,Family Members,家庭成员,Jiātíng Chéngyuán,Membros da Família
14,Body Parts,Body Parts,身体部位,Shēntǐ Bùwèi,Partes do Corpo
15,Colors,Colors,颜色,Yánsè,Cores
16,Describing Things (grande pequeño bueno),Describing Things,描述事物,Miáoshù Shìwù,Descrever Coisas
17,Basic Action Verbs,Basic Action Verbs,基本动词,Jīběn Dòngcí,Verbos de Ação Básicos
18,Common Foods,Common Foods,常见食物,Chángjiàn Shíwù,Alimentos Comuns
19,House Rooms,House Rooms,房间,Fángjiān,Cômodos da Casa
20,Making & Doing (hacer),Making & Doing (hacer),制作与做 (hacer),Zhìzuò yǔ Zuò (hacer),Fazer
21,Going Places (ir),Going Places (ir),去地方 (ir),Qù Dìfang (ir),Ir a Lugares
22,Numbers 11-20,Numbers 11-20,数字 11-20,Shùzì 11-20,Números 11-20
23,Extended Family,Extended Family,大家庭,Dà Jiātíng,Família Estendida
24,Emotions & Feelings,Emotions & Feelings,情感,Qínggǎn,Emoções e Sentimentos
25,Time Words (hoy ayer mañana),Time Words,时间词,Shíjiān Cí,Palavras de Tempo
26,Clothing,Clothing,衣服,Yīfu,Roupas
27,Daily Activities,Daily Activities,日常活动,Rìcháng Huódòng,Atividades Diárias
28,City Places,City Places,城市地点,Chéngshì Dìdiǎn,Lugares da Cidade
29,Transportation,Transportation,交通,Jiāotōng,Transporte
30,Numbers 21-100,Numbers 21-100,数字 21-100,Shùzì 21-100,Números 21-100
31,Liking Things (gustar),Liking Things (gustar),喜欢 (gustar),Xǐhuan (gustar),Gostar de Coisas
32,Weather Talk,Weather Talk,天气,Tiānqì,Conversa sobre Clima
33,Can & Able (poder),Can & Able (poder),能够 (poder),Nénggòu (poder),Poder
34,Want & Desire (querer),Want & Desire (querer),想要 (querer),Xiǎng Yào (querer),Querer
35,School Supplies,School Supplies,学习用品,Xuéxí Yòngpǐn,Material Escolar
36,Office & Work,Office & Work,办公室与工作,Bàngōngshì yǔ Gōngzuò,Escritório e Trabalho
37,Animals,Animals,动物,Dòngwù,Animais
38,Thinking (pensar),Thinking (pensar),思考 (pensar),Sīkǎo (pensar),Pensar
39,Feeling (sentir),Feeling (sentir),感觉 (sentir),Gǎnjué (sentir),Sentir
40,Meals & Food Details,Meals & Food Details,餐食详情,Cānshí Xiángqíng,Refeições e Detalhes
41,Drinks & Beverages,Drinks & Beverages,饮料,Yǐnliào,Bebidas
42,Vegetables,Vegetables,蔬菜,Shūcài,Vegetais
43,Fruits,Fruits,水果,Shuǐguǒ,Frutas
44,Need & Necessity (necesitar),Need & Necessity (necesitar),需要 (necesitar),Xūyào (necesitar),Necessidade
45,Looking For (buscar),Looking For (buscar),寻找 (buscar),Xúnzhǎo (buscar),Procurar
46,Telling Time,Telling Time,报时,Bàoshí,Dizer as Horas
47,Directions & Position,Directions & Position,方向与位置,Fāngxiàng yǔ Wèizhì,Direções e Posição
48,Prepositions (en con sin para),Prepositions,介词,Jiècí,Preposições
49,Comparing Things,Comparing Things,比较事物,Bǐjiào Shìwù,Comparar Coisas
50,Physical Actions,Physical Actions,身体动作,Shēntǐ Dòngzuò,Ações Físicas
51,Names & Calling (llamar),Names & Calling (llamar),名字与称呼 (llamar),Míngzi yǔ Chēnghu (llamar),Nomes e Chamar
52,Giving (dar),Giving (dar),给予 (dar),Jǐyǔ (dar),Dar
53,Seeing & Watching (ver),Seeing & Watching (ver),看 (ver),Kàn (ver),Ver
54,Restaurant Vocabulary,Restaurant Vocabulary,餐厅词汇,Cāntīng Cíhuì,Vocabulário de Restaurante
55,Shopping & Buying,Shopping & Buying,购物,Gòuwù,Compras
56,Beginning (empezar),Beginning (empezar),开始 (empezar),Kāishǐ (empezar),Começar
57,Continuing (seguir),Continuing (seguir),继续 (seguir),Jìxù (seguir),Continuar
58,Furniture & Objects,Furniture & Objects,家具与物品,Jiājù yǔ Wùpǐn,Móveis e Objetos
59,Bathroom Items,Bathroom Items,浴室用品,Yùshì Yòngpǐn,Itens de Banheiro
60,Health & Medical,Health & Medical,健康与医疗,Jiànkāng yǔ Yīliáo,Saúde e Medicina
61,Knowing Facts (saber),Knowing Facts (saber),知道事实 (saber),Zhīdào Shìshí (saber),Saber Fatos
62,Knowing People/Places (conocer),Knowing People/Places (conocer),认识人地 (conocer),Rènshi Réndì (conocer),Conhecer Pessoas/Lugares
63,Technology & Internet,Technology & Internet,技术与网络,Jìshù yǔ Wǎngluò,Tecnologia e Internet
64,Asking For Things (pedir),Asking For Things (pedir),请求 (pedir),Qǐngqiú (pedir),Pedir Coisas
65,Asking Questions (preguntar),Asking Questions (preguntar),提问 (preguntar),Tíwèn (preguntar),Fazer Perguntas
66,Nature & Outdoors,Nature & Outdoors,自然与户外,Zìrán yǔ Hùwài,Natureza e Ar Livre
67,Sleeping (dormir),Sleeping (dormir),睡觉 (dormir),Shuìjiào (dormir),Dormir
68,Playing (jugar),Playing (jugar),玩 (jugar),Wán (jugar),Jogar
69,Sports,Sports,体育运动,Tǐyù Yùndòng,Esportes
70,Hobbies & Interests,Hobbies & Interests,爱好,Àihào,Hobbies e Interesses
71,Leaving (salir),Leaving (salir),离开 (salir),Líkāi (salir),Sair
72,Returning (volver),Returning (volver),返回 (volver),Fǎnhuí (volver),Voltar
73,Music & Songs,Music & Songs,音乐与歌曲,Yīnyuè yǔ Gēqǔ,Música e Canções
74,Wearing & Carrying (llevar),Wearing & Carrying (llevar),穿戴与携带 (llevar),Chuāndài yǔ Xiédài (llevar),Vestir e Carregar
75,Bringing (traer),Bringing (traer),带来 (traer),Dài Lái (traer),Trazer
76,School & Education,School & Education,学校与教育,Xuéxiào yǔ Jiàoyù,Escola e Educação
77,Deep Emotions,Deep Emotions,深层情感,Shēncéng Qínggǎn,Emoções Profundas
78,Saying & Telling (decir),Saying & Telling (decir),说 (decir),Shuō (decir),Dizer
79,Putting & Placing (poner),Putting & Placing (poner),放置 (poner),Fàngzhì (poner),Colocar
80,Travel & Tourism,Travel & Tourism,旅行与旅游,Lǚxíng yǔ Lǚyóu,Viagem e Turismo
81,Banking & Money,Banking & Money,银行与金钱,Yínháng yǔ Jīnqián,Banco e Dinheiro
82,Finding (encontrar),Finding (encontrar),找到 (encontrar),Zhǎodào (encontrar),Encontrar
83,Waiting & Hoping (esperar),Waiting & Hoping (esperar),等待与希望 (esperar),Děngdài yǔ Xīwàng (esperar),Esperar
84,Business Terms,Business Terms,商业术语,Shāngyè Shùyǔ,Termos de Negócios
85,Believing (creer),Believing (creer),相信 (creer),Xiāngxìn (creer),Acreditar
86,Living (vivir),Living (vivir),生活 (vivir),Shēnghuó (vivir),Viver
87,Cooking Verbs,Cooking Verbs,烹饪动词,Pēngrèn Dòngcí,Verbos de Cozinhar
88,Physical Appearance,Physical Appearance,外貌,Wàimào,Aparência Física
89,Receiving (recibir),Receiving (recibir),接收 (recibir),Jiēshōu (recibir),Receber
90,Sending (enviar),Sending (enviar),发送 (enviar),Fāsòng (enviar),Enviar
91,Personal Qualities,Personal Qualities,个人品质,Gèrén Pǐnzhì,Qualidades Pessoais
92,Opening (abrir),Opening (abrir),打开 (abrir),Dǎkāi (abrir),Abrir
93,Closing (cerrar),Closing (cerrar),关闭 (cerrar),Guānbì (cerrar),Fechar
94,Internet & Web,Internet & Web,互联网,Hùliánwǎng,Internet e Web
95,Relationships,Relationships,关系,Guānxi,Relacionamentos
96,Reading (leer),Reading (leer),阅读 (leer),Yuèdú (leer),Ler
97,Writing (escribir),Writing (escribir),写作 (escribir),Xiězuò (escribir),Escrever
98,Government & Politics,Government & Politics,政府与政治,Zhèngfǔ yǔ Zhèngzhì,Governo e Política
99,Showing (mostrar),Showing (mostrar),展示 (mostrar),Zhǎnshì (mostrar),Mostrar
100,Explaining (explicar),Explaining (explicar),解释 (explicar),Jiěshì (explicar),Explicar
101,Law & Legal,Law & Legal,法律,Fǎlǜ,Lei e Jurídico
102,Remembering (recordar),Remembering (recordar),记得 (recordar),Jìde (recordar),Lembrar
103,Forgetting (olvidar),Forgetting (olvidar),忘记 (olvidar),Wàngjì (olvidar),Esquecer
104,Science Terms,Science Terms,科学术语,Kēxué Shùyǔ,Termos Científicos
105,Learning (aprender),Learning (aprender),学习 (aprender),Xuéxí (aprender),Aprender
106,Teaching (enseñar),Teaching (enseñar),教学 (enseñar),Jiàoxué (enseñar),Ensinar
107,Environment & Nature,Environment & Nature,环境与自然,Huánjìng yǔ Zìrán,Meio Ambiente e Natureza
108,Changing (cambiar),Changing (cambiar),改变 (cambiar),Gǎibiàn (cambiar),Mudar
109,Improving (mejorar),Improving (mejorar),改进 (mejorar),Gǎijìn (mejorar),Melhorar
110,Media & News,Media & News,媒体与新闻,Méitǐ yǔ Xīnwén,Mídia e Notícias
111,Trying (intentar),Trying (intentar),尝试 (intentar),Chángshì (intentar),Tentar
112,Getting & Achieving (conseguir),Getting & Achieving (conseguir),获得 (conseguir),Huòdé (conseguir),Conseguir
113,Geography,Geography,地理,Dìlǐ,Geografia
114,Seeming & Appearing (parecer),Seeming & Appearing (parecer),似乎 (parecer),Sìhū (parecer),Parecer
115,Staying & Meeting (quedar),Staying & Meeting (quedar),留下与见面 (quedar),Liúxià yǔ Jiànmiàn (quedar),Ficar e Encontrar
116,Art & Culture,Art & Culture,艺术与文化,Yìshù yǔ Wénhuà,Arte e Cultura
117,Arriving (llegar),Arriving (llegar),到达 (llegar),Dàodá (llegar),Chegar
118,Happening (pasar),Happening (pasar),发生 (pasar),Fāshēng (pasar),Acontecer
119,Religion & Faith,Religion & Faith,宗教与信仰,Zōngjiào yǔ Xìnyǎng,Religião e Fé
120,Letting & Leaving (dejar),Letting & Leaving (dejar),让与留下 (dejar),Ràng yǔ Liúxià (dejar),Deixar
121,Using (usar),Using (usar),使用 (usar),Shǐyòng (usar),Usar
122,Tools & Building,Tools & Building,工具与建筑,Gōngjù yǔ Jiànzhù,Ferramentas e Construção
123,Telling & Counting (contar),Telling & Counting (contar),讲述与计数 (contar),Jiǎngshù yǔ Jìshù (contar),Contar
124,Creating (crear),Creating (crear),创造 (crear),Chuàngzào (crear),Criar
125,Personality Types,Personality Types,性格类型,Xìnggé Lèixíng,Tipos de Personalidade
126,Going Up (subir),Going Up (subir),上升 (subir),Shàngshēng (subir),Subir
127,Going Down (bajar),Going Down (bajar),下降 (bajar),Xiàjiàng (bajar),Descer
128,Emergency & Safety,Emergency & Safety,紧急与安全,Jǐnjí yǔ Ānquán,Emergência e Segurança
129,Falling (caer),Falling (caer),跌落 (caer),Diēluò (caer),Cair
130,Lifting & Waking (levantar),Lifting & Waking (levantar),抬起与醒来 (levantar),Táiqǐ yǔ Xǐnglái (levantar),Levantar
131,Materials,Materials,材料,Cáiliào,Materiais
132,Touching & Playing Music (tocar),Touching & Playing Music (tocar),触摸与演奏 (tocar),Chùmō yǔ Yǎnzòu (tocar),Tocar
133,Breaking (romper),Breaking (romper),打破 (romper),Dǎpò (romper),Quebrar
134,Farming & Agriculture,Farming & Agriculture,农业,Nóngyè,Agricultura
135,Sharing (compartir),Sharing (compartir),分享 (compartir),Fēnxiǎng (compartir),Compartilhar
136,Participating (participar),Participating (participar),参与 (participar),Cānyù (participar),Participar
137,Math Operations,Math Operations,数学运算,Shùxué Yùnsuàn,Operações Matemáticas
138,Preparing (preparar),Preparing (preparar),准备 (preparar),Zhǔnbèi (preparar),Preparar
139,Cooking (cocinar),Cooking (cocinar),烹饪 (cocinar),Pēngrèn (cocinar),Cozinhar
140,History Terms,History Terms,历史术语,Lìshǐ Shùyǔ,Termos Históricos
141,Accepting (aceptar),Accepting (aceptar),接受 (aceptar),Jiēshòu (aceptar),Aceitar
142,Rejecting (rechazar),Rejecting (rechazar),拒绝 (rechazar),Jùjué (rechazar),Rejeitar
143,Space & Universe,Space & Universe,太空与宇宙,Tàikōng yǔ Yǔzhòu,Espaço e Universo
144,Offering (ofrecer),Offering (ofrecer),提供 (ofrecer),Tígōng (ofrecer),Oferecer
145,Promising (prometer),Promising (prometer),承诺 (prometer),Chéngnuò (prometer),Prometer
146,Chemistry Terms,Chemistry Terms,化学术语,Huàxué Shùyǔ,Termos de Química
147,Moving (mover),Moving (mover),移动 (mover),Yídòng (mover),Mover
148,Stopping (detener),Stopping (detener),停止 (detener),Tíngzhǐ (detener),Parar
149,Military Terms,Military Terms,军事术语,Jūnshì Shùyǔ,Termos Militares
150,Continuing (continuar),Continuing (continuar),继续 (continuar),Jìxù (continuar),Continuar
151,Finishing (terminar),Finishing (terminar),完成 (terminar),Wánchéng (terminar),Terminar
152,Literature & Books,Literature & Books,文学与书籍,Wénxué yǔ Shūjí,Literatura e Livros
153,Developing (desarrollar),Developing (desarrollar),发展 (desarrollar),Fāzhǎn (desarrollar),Desenvolver
154,Producing (producir),Producing (producir),生产 (producir),Shēngchǎn (producir),Produzir
155,Construction,Construction,建筑,Jiànzhù,Construção
156,Directing (dirigir),Directing (dirigir),指导 (dirigir),Zhǐdǎo (dirigir),Dirigir
157,Organizing (organizar),Organizing (organizar),组织 (organizar),Zǔzhī (organizar),Organizar
158,Theater & Acting,Theater & Acting,戏剧与表演,Xìjù yǔ Biǎoyǎn,Teatro e Atuação
159,Traveling (viajar),Traveling (viajar),旅行 (viajar),Lǚxíng (viajar),Viajar
160,Resting (descansar),Resting (descansar),休息 (descansar),Xiūxi (descansar),Descansar
161,Philosophy Terms,Philosophy Terms,哲学术语,Zhéxué Shùyǔ,Termos Filosóficos
162,Practicing (practicar),Practicing (practicar),练习 (practicar),Liànxí (practicar),Praticar
163,Winning & Earning (ganar),Winning & Earning (ganar),赢得 (ganar),Yíngdé (ganar),Ganhar
164,Dance & Dancing,Dance & Dancing,舞蹈,Wǔdǎo,Dança
165,Losing (perder),Losing (perder),失去 (perder),Shīqù (perder),Perder
166,Forming (formar),Forming (formar),形成 (formar),Xíngchéng (formar),Formar
167,Fashion & Style,Fashion & Style,时尚与风格,Shíshàng yǔ Fēnggé,Moda e Estilo
168,Reaching (alcanzar),Reaching (alcanzar),达到 (alcanzar),Dádào (alcanzar),Alcançar
169,Maintaining (mantener),Maintaining (mantener),维持 (mantener),Wéichí (mantener),Manter
170,Psychology Terms,Psychology Terms,心理学术语,Xīnlǐxué Shùyǔ,Termos de Psicologia
171,Solving (resolver),Solving (resolver),解决 (resolver),Jiějué (resolver),Resolver
172,Avoiding (evitar),Avoiding (evitar),避免 (evitar),Bìmiǎn (evitar),Evitar
173,Journalism Terms,Journalism Terms,新闻术语,Xīnwén Shùyǔ,Termos de Jornalismo
174,Supposing (suponer),Supposing (suponer),假设 (suponer),Jiǎshè (suponer),Supor
175,Meaning (significar),Meaning (significar),意味 (significar),Yìwèi (significar),Significar
176,Photography Terms,Photography Terms,摄影术语,Shèyǐng Shùyǔ,Termos de Fotografia
177,Choosing (elegir),Choosing (elegir),选择 (elegir),Xuǎnzé (elegir),Escolher
178,Deciding (decidir),Deciding (decidir),决定 (decidir),Juédìng (decidir),Decidir
179,Marketing & Advertising,Marketing & Advertising,营销与广告,Yíngxiāo yǔ Guǎnggào,Marketing e Publicidade
180,Appearing (aparecer),Appearing (aparecer),出现 (aparecer),Chūxiàn (aparecer),Aparecer
181,Disappearing (desaparecer),Disappearing (desaparecer),消失 (desaparecer),Xiāoshī (desaparecer),Desaparecer
182,Telecommunications,Telecommunications,电信,Diànxìn,Telecomunicações
183,Birthdays & Fulfilling (cumplir),Birthdays & Fulfilling (cumplir),生日与实现 (cumplir),Shēngrì yǔ Shíxiàn (cumplir),Aniversários e Cumprir
184,Missing & Lacking (faltar),Missing & Lacking (faltar),缺少 (faltar),Quēshǎo (faltar),Faltar
185,Tourism Terms,Tourism Terms,旅游术语,Lǚyóu Shùyǔ,Termos de Turismo
186,Noticing (notar),Noticing (notar),注意到 (notar),Zhùyìdào (notar),Notar
187,Allowing (permitir),Allowing (permitir),允许 (permitir),Yǔnxǔ (permitir),Permitir
188,Manufacturing Terms,Manufacturing Terms,制造术语,Zhìzào Shùyǔ,Termos de Manufatura
189,Achieving (lograr),Achieving (lograr),实现 (lograr),Shíxiàn (lograr),Alcançar
190,Performing (realizar),Performing (realizar),执行 (realizar),Zhíxíng (realizar),Realizar
191,Economics Terms,Economics Terms,经济学术语,Jīngjìxué Shùyǔ,Termos de Economia
192,Existing (existir),Existing (existir),存在 (existir),Cúnzài (existir),Existir
193,Depending (depender),Depending (depender),依赖 (depender),Yīlài (depender),Depender
194,Retail & Sales,Retail & Sales,零售与销售,Língshòu yǔ Xiāoshòu,Varejo e Vendas
195,Belonging (pertenecer),Belonging (pertenecer),属于 (pertenecer),Shǔyú (pertenecer),Pertencer
196,Deserving (merecer),Deserving (merecer),值得 (merecer),Zhídé (merecer),Merecer
197,Insurance Terms,Insurance Terms,保险术语,Bǎoxiǎn Shùyǔ,Termos de Seguro
198,Suffering (sufrir),Suffering (sufrir),遭受 (sufrir),Zāoshòu (sufrir),Sofrer
199,Enjoying (disfrutar),Enjoying (disfrutar),享受 (disfrutar),Xiǎngshòu (disfrutar),Desfrutar
200,Real Estate Terms,Real Estate Terms,房地产术语,Fángdìchǎn Shùyǔ,Termos Imobiliários
201,Occurring (ocurrir),Occurring (ocurrir),发生 (ocurrir),Fāshēng (ocurrir),Ocorrer
202,Happening (suceder),Happening (suceder),发生 (suceder),Fāshēng (suceder),Suceder
203,Aviation Terms,Aviation Terms,航空术语,Hángkōng Shùyǔ,Termos de Aviação
204,Protecting (proteger),Protecting (proteger),保护 (proteger),Bǎohù (proteger),Proteger
205,Defending (defender),Defending (defender),防御 (defender),Fángyù (defender),Defender
206,Logistics & Shipping,Logistics & Shipping,物流与运输,Wùliú yǔ Yùnshū,Logística e Transporte
207,Reducing (reducir),Reducing (reducir),减少 (reducir),Jiǎnshǎo (reducir),Reduzir
208,Increasing (aumentar),Increasing (aumentar),增加 (aumentar),Zēngjiā (aumentar),Aumentar
209,Pharmaceutical Terms,Pharmaceutical Terms,制药术语,Zhìyào Shùyǔ,Termos Farmacêuticos
210,Demonstrating (demostrar),Demonstrating (demostrar),演示 (demostrar),Yǎnshì (demostrar),Demonstrar
211,Checking (comprobar),Checking (comprobar),检查 (comprobar),Jiǎnchá (comprobar),Verificar
212,Energy & Power,Energy & Power,能源与电力,Néngyuán yǔ Diànlì,Energia e Poder
213,Thanking (agradecer),Thanking (agradecer),感谢 (agradecer),Gǎnxiè (agradecer),Agradecer
214,Congratulating (felicitar),Congratulating (felicitar),祝贺 (felicitar),Zhùhè (felicitar),Felicitar
215,Automotive Terms,Automotive Terms,汽车术语,Qìchē Shùyǔ,Termos Automotivos
216,Suggesting (sugerir),Suggesting (sugerir),建议 (sugerir),Jiànyì (sugerir),Sugerir
217,Recommending (recomendar),Recommending (recomendar),推荐 (recomendar),Tuījiàn (recomendar),Recomendar
218,Subjunctive Triggers,Subjunctive Triggers,虚拟语气触发词,Xūnǐ Yǔqì Chùfā Cí,Gatilhos do Subjuntivo
219,Convincing (convencer),Convincing (convencer),说服 (convencer),Shuōfú (convencer),Convencer
220,Trusting (confiar),Trusting (confiar),信任 (confiar),Xìnrèn (confiar),Confiar
221,Past Subjunctive Forms,Past Subjunctive Forms,过去虚拟语气,Guòqù Xūnǐ Yǔqì,Formas do Subjuntivo Passado
222,Dreaming (soñar),Dreaming (soñar),梦想 (soñar),Mèngxiǎng (soñar),Sonhar
223,Agreeing (acordar),Agreeing (acordar),同意 (acordar),Tóngyì (acordar),Concordar
224,Robotics & AI Terms,Robotics & AI Terms,机器人与人工智能术语,Jīqìrén yǔ Réngōng Zhìnéng Shùyǔ,Termos de Robótica e IA
225,Warming (calentar),Warming (calentar),加热 (calentar),Jiārè (calentar),Aquecer
226,Cooling (enfriar),Cooling (enfriar),冷却 (enfriar),Lěngquè (enfriar),Esfriar
227,Alternative Medicine,Alternative Medicine,替代医学,Tìdài Yīxué,Medicina Alternativa
228,Hiding (esconder),Hiding (esconder),隐藏 (esconder),Yǐncáng (esconder),Esconder
229,Showing (mostrar),Showing (mostrar),展示 (mostrar),Zhǎnshì (mostrar),Mostrar
230,Virtual Reality Terms,Virtual Reality Terms,虚拟现实术语,Xūnǐ Xiànshí Shùyǔ,Termos de Realidade Virtual
231,Measuring (medir),Measuring (medir),测量 (medir),Cèliáng (medir),Medir
232,Weighing (pesar),Weighing (pesar),称重 (pesar),Chēngzhòng (pesar),Pesar
233,Cryptocurrency Terms,Cryptocurrency Terms,加密货币术语,Jiāmì Huòbì Shùyǔ,Termos de Criptomoeda
234,Opening (abrir),Opening (abrir),打开 (abrir),Dǎkāi (abrir),Abrir
235,Closing (cerrar),Closing (cerrar),关闭 (cerrar),Guānbì (cerrar),Fechar
236,Sustainable Living,Sustainable Living,可持续生活,Kě Chíxù Shēnghuó,Vida Sustentável
237,Pushing (empujar),Pushing (empujar),推 (empujar),Tuī (empujar),Empurrar
238,Pulling (tirar),Pulling (tirar),拉 (tirar),Lā (tirar),Puxar
239,Combining (combinar),Combining (combinar),组合 (combinar),Zǔhé (combinar),Combinar
240,Separating (separar),Separating (separar),分离 (separar),Fēnlí (separar),Separar
241,Dying (morir),Dying (morir),死亡 (morir),Sǐwáng (morir),Morrer
242,Irregular Past Forms,Irregular Past Forms,不规则过去式,Bù Guīzé Guòqùshì,Formas Irregulares do Passado
243,Growing (crecer),Growing (crecer),成长 (crecer),Chéngzhǎng (crecer),Crescer
244,Aging (envejecer),Aging (envejecer),衰老 (envejecer),Shuāilǎo (envejecer),Envelhecer
245,Command Forms,Command Forms,命令式,Mìnglìng Shì,Formas Imperativas
246,Reflexive Pronouns,Reflexive Pronouns,反身代词,Fǎnshēn Dàicí,Pronomes Reflexivos
247,Gerund Forms,Gerund Forms,动名词形式,Dòng Míngcí Xíngshì,Formas de Gerúndio
248,Perfect Tenses,Perfect Tenses,完成时态,Wánchéng Shítài,Tempos Perfeitos
249,Future Forms,Future Forms,将来时态,Jiānglái Shítài,Formas do Futuro
250,Common Idioms,Common Idioms,常用习语,Chángyòng Xíyǔ,Expressões Idiomáticas Comuns
